"metadata","category","readcode","readterm","medcode"
"                                                                              ",6,"66A4.00","Diabetic on oral treatment",1684
"                                                                              ",6,"66A5.00","Diabetic on insulin",8842
"                                                                              ",6,"66A8.00","Has seen dietician - diabetes",13069
"                                                                              ",6,"66A9.00","Understands diet - diabetes",38078
"                                                                              ",6,"66AA.11","Injection sites - diabetic",20696
"                                                                              ",6,"66AD.00","Fundoscopy - diabetic check",13196
"                                                                              ",6,"66AG.00","Diabetic drug side effects",53238
"                                                                              ",6,"66AH.00","Diabetic treatment changed",16490
"                                                                              ",6,"66AI.00","Diabetic - good control",13071
"                                                                              ",6,"66AJ.00","Diabetic - poor control",2378
"                                                                              ",6,"66AJ.11","Unstable diabetes",9013
"                                                                              ",6,"66AJ100","Brittle diabetes",2478
"                                                                              ",6,"66AJz00","Diabetic - poor control NOS",22023
"                                                                              ",6,"66AK.00","Diabetic - cooperative patient",43951
"                                                                              ",6,"66AL.00","Diabetic-uncooperative patient",17869
"                                                                              ",6,"66AN.00","Date diabetic treatment start",29041
"                                                                              ",6,"66AO.00","Date diabetic treatment stopp.",55123
"                                                                              ",6,"66AP.00","Diabetes: practice programme",12506
"                                                                              ",6,"66AQ.00","Diabetes: shared care programme",12675
"                                                                              ",6,"66AR.00","Diabetes management plan given",8836
"                                                                              ",6,"66AS.00","Diabetic annual review",6125
"                                                                              ",6,"66AT.00","Annual diabetic blood test",18167
"                                                                              ",6,"66AU.00","Diabetes care by hospital only",12307
"                                                                              ",6,"66AV.00","Diabetic on insulin and oral treatment",28769
"                                                                              ",6,"66AW.00","Diabetic foot risk assessment",50175
"                                                                              ",6,"66AX.00","Diabetes: shared care in pregnancy - diabetol and obstet",46577
"                                                                              ",6,"66AY.00","Diabetic diet - good compliance",26604
"                                                                              ",6,"66Aa.00","Diabetic diet - poor compliance",25636
"                                                                              ",6,"66Ab.00","Diabetic foot examination",22823
"                                                                              ",6,"66Ac.00","Diabetic peripheral neuropathy screening",10977
"                                                                              ",6,"66Ag.00","Insulin needles changed daily",90301
"                                                                              ",6,"66Ah.00","Insulin needles changed for each injection",66274
"                                                                              ",6,"66Ai.00","Diabetic 6 month review",28873
"                                                                              ",6,"66Aj.00","Insulin needles changed less than once a day",69152
"                                                                              ",6,"66Am.00","Insulin dose changed",83485
"                                                                              ",6,"66Ap.00","Insulin treatment initiated",96010
"                                                                              ",6,"66Aq.00","Diabetic foot screen",95994
"                                                                              ",6,"6761.00","Diabetic pre-pregnancy counselling",49884
"                                                                              ",6,"68A7.00","Diabetic retinopathy screening",18311
"                                                                              ",6,"68A9.00","Diabetic retinopathy screening offered",19739
"                                                                              ",6,"68AB.00","Diabetic digital retinopathy screening offered",61021
"                                                                              ",6,"7276.00","Pan retinal photocoagulation for diabetes",11599
"                                                                              ",6,"7L10000","Continuous subcutaneous infusion of insulin",36798
"                                                                              ",6,"7L19800","Subcutaneous injection of insulin",17817
"                                                                              ",6,"889A.00","Diab mellit insulin-glucose infus acute myocardial infarct",61670
"                                                                              ",6,"8A13.00","Diabetic stabilisation",24363
"                                                                              ",6,"8B3l.00","Diabetes medication review",11471
"                                                                              ",6,"8BL2.00","Patient on maximal tolerated therapy for diabetes",12213
"                                                                              ",6,"8CA4100","Pt advised re diabetic diet",8414
"                                                                              ",6,"8CAQ.00","Advice about blood glucose control",12483
"                                                                              ",6,"8CP2.00","Transition of diabetes care options discussed",28856
"                                                                              ",6,"8H2J.00","Admit diabetic emergency",7059
"                                                                              ",6,"8H3O.00","Non-urgent diabetic admission",35321
"                                                                              ",6,"8H7r.00","Refer to diabetic foot screener",11677
"                                                                              ",6,"8HBG.00","Diabetic retinopathy 12 month review",11018
"                                                                              ",6,"8HBH.00","Diabetic retinopathy 6 month review",18662
"                                                                              ",6,"8HLE.00","Diabetology D.V. done",47370
"                                                                              ",6,"8Hl1.00","Referral for diabetic retinopathy screening",64142
"                                                                              ",6,"8I3W.00","Diabetic foot examination declined",18824
"                                                                              ",6,"8I3X.00","Diabetic retinopathy screening refused",12262
"                                                                              ",6,"8I3k.00","Insulin therapy declined",58159
"                                                                              ",6,"8I57.00","Patient held diabetic record declined",58639
"                                                                              ",6,"9360.00","Patient held diabetic record issued",52237
"                                                                              ",6,"9OLD.00","Diabetic patient unsuitable for digital retinal photography",35383
"                                                                              ",6,"C10..00","Diabetes mellitus",711
"                                                                              ",6,"C100.00","Diabetes mellitus with no mention of complication",38986
"                                                                              ",6,"C100z00","Diabetes mellitus NOS with no mention of complication",50972
"                                                                              ",6,"C101.00","Diabetes mellitus with ketoacidosis",1682
"                                                                              ",6,"C101y00","Other specified diabetes mellitus with ketoacidosis",38617
"                                                                              ",6,"C101z00","Diabetes mellitus NOS with ketoacidosis",42505
"                                                                              ",6,"C102.00","Diabetes mellitus with hyperosmolar coma",21482
"                                                                              ",6,"C102z00","Diabetes mellitus NOS with hyperosmolar coma",72345
"                                                                              ",6,"C103.00","Diabetes mellitus with ketoacidotic coma",15690
"                                                                              ",6,"C103y00","Other specified diabetes mellitus with coma",59288
"                                                                              ",6,"C103z00","Diabetes mellitus NOS with ketoacidotic coma",65062
"                                                                              ",6,"C104.00","Diabetes mellitus with renal manifestation",16502
"                                                                              ",6,"C104.11","Diabetic nephropathy",2475
"                                                                              ",6,"C104y00","Other specified diabetes mellitus with renal complications",13279
"                                                                              ",6,"C104z00","Diabetes mellitis with nephropathy NOS",35107
"                                                                              ",6,"C105.00","Diabetes mellitus with ophthalmic manifestation",33254
"                                                                              ",6,"C105y00","Other specified diabetes mellitus with ophthalmic complicatn",47377
"                                                                              ",6,"C105z00","Diabetes mellitus NOS with ophthalmic manifestation",34283
"                                                                              ",6,"C106.00","Diabetes mellitus with neurological manifestation",16230
"                                                                              ",6,"C106.11","Diabetic amyotrophy",59903
"                                                                              ",6,"C106.12","Diabetes mellitus with neuropathy",7795
"                                                                              ",6,"C106.13","Diabetes mellitus with polyneuropathy",16491
"                                                                              ",6,"C106y00","Other specified diabetes mellitus with neurological comps",61523
"                                                                              ",6,"C106z00","Diabetes mellitus NOS with neurological manifestation",22573
"                                                                              ",6,"C107.00","Diabetes mellitus with peripheral circulatory disorder",35399
"                                                                              ",6,"C107.11","Diabetes mellitus with gangrene",32403
"                                                                              ",6,"C107.12","Diabetes with gangrene",32556
"                                                                              ",6,"C107z00","Diabetes mellitus NOS with peripheral circulatory disorder",65025
"                                                                              ",6,"C108y00","Other specified diabetes mellitus with multiple comps",46290
"                                                                              ",6,"C108z00","Unspecified diabetes mellitus with multiple complications",64449
"                                                                              ",6,"C10A.00","Malnutrition-related diabetes mellitus",52236
"                                                                              ",6,"C10A000","Malnutrition-related diabetes mellitus with coma",66675
"                                                                              ",6,"C10A100","Malnutrition-related diabetes mellitus with ketoacidosis",33969
"                                                                              ",6,"C10C.00","Diabetes mellitus autosomal dominant",43453
"                                                                              ",6,"C10M.00","Lipoatrophic diabetes mellitus",43857
"                                                                              ",6,"C10y.00","Diabetes mellitus with other specified manifestation",33343
"                                                                              ",6,"C10yy00","Other specified diabetes mellitus with other spec comps",10098
"                                                                              ",6,"C10yz00","Diabetes mellitus NOS with other specified manifestation",70821
"                                                                              ",6,"C10z.00","Diabetes mellitus with unspecified complication",45491
"                                                                              ",6,"C10zy00","Other specified diabetes mellitus with unspecified comps",64283
"                                                                              ",6,"C10zz00","Diabetes mellitus NOS with unspecified complication",64357
"                                                                              ",6,"C314.11","Renal diabetes",11848
"                                                                              ",6,"C350011","Bronzed diabetes",23479
"                                                                              ",6,"Cyu2.00","[X]Diabetes mellitus",52212
"                                                                              ",6,"Cyu2000","[X]Other specified diabetes mellitus",41686
"                                                                              ",6,"F171100","Autonomic neuropathy due to diabetes",17067
"                                                                              ",6,"F345000","Diabetic mononeuritis multiplex",44033
"                                                                              ",6,"F35z000","Diabetic mononeuritis NOS",17247
"                                                                              ",6,"F372.00","Polyneuropathy in diabetes",31790
"                                                                              ",6,"F372.11","Diabetic polyneuropathy",5002
"                                                                              ",6,"F372.12","Diabetic neuropathy",2342
"                                                                              ",6,"F372000","Acute painful diabetic neuropathy",48078
"                                                                              ",6,"F372100","Chronic painful diabetic neuropathy",35785
"                                                                              ",6,"F372200","Asymptomatic diabetic neuropathy",24571
"                                                                              ",6,"F381300","Myasthenic syndrome due to diabetic amyotrophy",39420
"                                                                              ",6,"F381311","Diabetic amyotrophy",2340
"                                                                              ",6,"F3y0.00","Diabetic mononeuropathy",37315
"                                                                              ",6,"F420.00","Diabetic retinopathy",1323
"                                                                              ",6,"F420000","Background diabetic retinopathy",7069
"                                                                              ",6,"F420100","Proliferative diabetic retinopathy",3286
"                                                                              ",6,"F420200","Preproliferative diabetic retinopathy",2986
"                                                                              ",6,"F420300","Advanced diabetic maculopathy",10099
"                                                                              ",6,"F420400","Diabetic maculopathy",3837
"                                                                              ",6,"F420500","Advanced diabetic retinal disease",47584
"                                                                              ",6,"F420600","Non proliferative diabetic retinopathy",10755
"                                                                              ",6,"F420700","High risk proliferative diabetic retinopathy",30477
"                                                                              ",6,"F420800","High risk non proliferative diabetic retinopathy",65463
"                                                                              ",6,"F420z00","Diabetic retinopathy NOS",11626
"                                                                              ",6,"F440700","Diabetic iritis",17313
"                                                                              ",6,"F464000","Diabetic cataract",10659
"                                                                              ",6,"G73y000","Diabetic peripheral angiopathy",34152
"                                                                              ",6,"K01x100","Nephrotic syndrome in diabetes mellitus",2471
"                                                                              ",6,"K01x111","Kimmelstiel - Wilson disease",45499
"                                                                              ",6,"L180X00","Pre-existing diabetes mellitus, unspecified",55431
"                                                                              ",6,"M037200","Cellulitis in diabetic foot",7328
"                                                                              ",6,"M271000","Ischaemic ulcer diabetic foot",24327
"                                                                              ",6,"M271100","Neuropathic diabetic ulcer - foot",11663
"                                                                              ",6,"M271200","Mixed diabetic ulcer - foot",9881
"                                                                              ",6,"N030000","Diabetic cheiroarthropathy",18142
"                                                                              ",6,"N030011","Diabetic cheiropathy",57333
"                                                                              ",6,"N030100","Diabetic Charcot arthropathy",27891
"                                                                              ",6,"Q441.00","Neonatal diabetes mellitus",21472
"                                                                              ",6,"R054200","[D]Gangrene of toe in diabetic",53634
"                                                                              ",6,"R054300","[D]Widespread diabetic foot gangrene",31053
"                                                                              ",6,"TJ23.00","Adverse reaction to insulins and antidiabetic agents",68928
"                                                                              ",6,"TJ23z00","Adverse reaction to insulins and antidiabetic agents NOS",61210
"                                                                              ",6,"U602311","[X] Adverse reaction to insulins and antidiabetic agents",65684
"                                                                              ",6,"ZC2C800","Dietary advice for diabetes mellitus",10642
"                                                                              ",6,"ZV65312","[V]Dietary counselling in diabetes mellitus",16881
"                                                                              ",7,"1I0..00","Diabetes mellitus excluded",19203
